availability,category,price,price_incl_tax,product_type,stars,tax,title,upc,publication_year,domain,discount
2,sequential art,54.81,54.81,books,1,0.0,"a being who has existed since the beginning of the universe, dream of the endless rules over the realm of dreams. in the doll’s house, after a decades-long imprisonment, the sandman has returned to find that a few dreams and nightmares have escaped to reality. looking to recapture his lost possessions, morpheus ventures to the human plane only to learn that a woman named r a being who has existed since the beginning of the universe, dream of the endless rules over the realm of dreams. in the doll’s house, after a decades-long imprisonment, the sandman has returned to find that a few dreams and nightmares have escaped to reality. looking to recapture his lost possessions, morpheus ventures to the human plane only to learn that a woman named rose walker has inadvertently become a dream vortex and threatens to rip apart his world. now as morpheus takes on the last escaped nightmare at a serial killers convention, the lord of dreams must mercilessly murder rose or risk the destruction of his entire kingdom.collecting issues #9-16, this new edition of the doll’s house features the improved production values and coloring from the absolute edition. ...more",276dc716b1da8899,,books.toscrape.com,0.0
2,add a comment,31.38,31.38,books,3,0.0,"an alternative cover edition for this isbn can be found heretony webster and his clique first met adrian finn at school. sex-hungry and book-hungry, they would navigate the girl-less sixth form together, trading in affectations, in-jokes, rumour and wit. maybe adrian was a little more serious than the others, certainly more intelligent, but they all swore to stay friends f an alternative cover edition for this isbn can be found heretony webster and his clique first met adrian finn at school. sex-hungry and book-hungry, they would navigate the girl-less sixth form together, trading in affectations, in-jokes, rumour and wit. maybe adrian was a little more serious than the others, certainly more intelligent, but they all swore to stay friends for life.now tony is retired. he's had a career and a single marriage, a calm divorce. he's certainly never tried to hurt anybody. memory, though, is imperfect. it can always throw up surprises, as a lawyer's letter is about to prove. ...more",4130678275eb7c8c,,books.toscrape.com,0.0
2,nonfiction,11.89,11.89,books,2,0.0,"'once they are aroused, once they are determined, nothing on earth and nothing in heaven will make women give way; it is impossible.'a potted history of the women who pioneered feminism and changed the world.one of 46 new books in the bestselling little black classics series, to celebrate the first ever penguin classic in 1946. each book gives readers a taste of the classi 'once they are aroused, once they are determined, nothing on earth and nothing in heaven will make women give way; it is impossible.'a potted history of the women who pioneered feminism and changed the world.one of 46 new books in the bestselling little black classics series, to celebrate the first ever penguin classic in 1946. each book gives readers a taste of the classics' huge range and diversity, with works from around the world and across the centuries - including fables, decadence, heartbreak, tall tales, satire, ghosts, battles and elephants. ...more",d2185b65af52d68c,1946.0,books.toscrape.com,0.0
3,add a comment,50.96,50.96,books,1,0.0,"the founder of nasty gal offers a sassy and irreverent manifesto for ambitious young women at seventeen, sophia amoruso decided to forgo continuing education to pursue a life of hitchhiking, dumpster diving, and petty thievery. now, at twenty-nine, she is the founder, ceo, and creative director of nasty gal, a $100+ million e-tailer that draws a-list publicity and rabid fa the founder of nasty gal offers a sassy and irreverent manifesto for ambitious young women at seventeen, sophia amoruso decided to forgo continuing education to pursue a life of hitchhiking, dumpster diving, and petty thievery. now, at twenty-nine, she is the founder, ceo, and creative director of nasty gal, a $100+ million e-tailer that draws a-list publicity and rabid fans for its leading-edge fashion and provocative online persona. her story is extraordinary—and only part of the appeal of #girlboss. this aspirational book doesn’t patronize young women the way many business experts do. amoruso shows readers how to channel their passion and hard work, while keeping their insecurities from getting in the way. she offers straight talk about making your voice heard and doing meaningful work. she’s proof that you can be a huge success without giving up your spirit of adventure or distinctive style. as she writes, i have three pieces of advice i want you to remember: don’t ever grow up. don’t become a bore. don’t let the man get to you. ok? cool. then let’s do this.” ...more",165affa7adb5eded,,books.toscrape.com,0.0
2,philosophy,20.02,20.02,books,1,0.0,"a life shared with pets brings many emotions. we feel love for our companions, certainly, and happiness at the thought that we’re providing them with a safe, healthy life. but there’s another emotion, less often acknowledged, that can be nearly as powerful: guilt. when we see our cats gazing wistfully out the window, or watch a goldfish swim lazy circles in a bowl, we can’ a life shared with pets brings many emotions. we feel love for our companions, certainly, and happiness at the thought that we’re providing them with a safe, healthy life. but there’s another emotion, less often acknowledged, that can be nearly as powerful: guilt. when we see our cats gazing wistfully out the window, or watch a goldfish swim lazy circles in a bowl, we can’t help but wonder: are we doing the right thing, keeping these independent beings locked up, subject to our control? is keeping pets actually good for the pets themselves?   that’s the question that animates jessica pierce’s powerful run, spot, run. a lover of pets herself (including, over the years, dogs, cats, fish, rats, hermit crabs, and more), pierce understands the joys that pets bring us. but she also refuses to deny the ambiguous ethics at the heart of the relationship, and through a mix of personal stories, philosophical reflections, and scientifically informed analyses of animal behavior and natural history, she puts pet-keeping to the test. is it ethical to keep pets at all? are some species more suited to the relationship than others? are there species one should never attempt to own? and are there ways that we can improve our pets’ lives, so that we can be confident that we are giving them as much as they give us?   deeply empathetic, yet rigorous and unflinching in her thinking, pierce has written a book that is sure to help any pet owner, unsettling assumptions but also giving them the knowledge to build deeper, better relationships with the animals with whom they’ve chosen to share their lives. ...more",b0e479be03911916,,books.toscrape.com,0.0
3,psychology,31.04,31.04,books,1,0.0,"we all know that exercise is good for physical health. improved fitness has been proven to increase longevity and stave off illness. recently, there has been a wealth of data proving that exercise also contributes to overall mental well-being. routine exercise alleviates stress and anxiety, moderates depression, relieves chronic pain, and improves self-esteem.christina g. we all know that exercise is good for physical health. improved fitness has been proven to increase longevity and stave off illness. recently, there has been a wealth of data proving that exercise also contributes to overall mental well-being. routine exercise alleviates stress and anxiety, moderates depression, relieves chronic pain, and improves self-esteem.christina g. hibbert, an expert on women’s mental health, grief, and self-esteem issues, here offers readers step-by-step strategies for sticking to fitness goals, overcoming motivation challenges and roadblocks to working out, and maintaining a physically and emotionally healthy exercise regimen. the techniques she offers will benefit readers at any stage of life or fitness level. whether you have worked out periodically in the past or have never hit the gym, this book will help you get moving, stay moving, and maintain the inspiration you need to reap the mental health benefits of regular exercise. ...more",f5873c8fc7760000,,books.toscrape.com,0.0
3,autobiography,54.29,54.29,books,5,0.0,"dave eggers is a terrifically talented writer; don't hold his cleverness against him. what to make of a book called a heartbreaking work of staggering genius: based on a true story? for starters, there's a good bit of staggering genius before you even get to the true story, including a preface, a list of rules and suggestions for enjoyment of this book, and a 20-page ack dave eggers is a terrifically talented writer; don't hold his cleverness against him. what to make of a book called a heartbreaking work of staggering genius: based on a true story? for starters, there's a good bit of staggering genius before you even get to the true story, including a preface, a list of rules and suggestions for enjoyment of this book, and a 20-page acknowledgements section complete with special mail-in offer, flow chart of the book's themes, and a lovely pen-and-ink drawing of a stapler (helpfully labeled here is a drawing of a stapler:). but on to the true story. at the age of 22, eggers became both an orphan and a single mother when his parents died within five months of one another of unrelated cancers. in the ensuing sibling division of labor, dave is appointed unofficial guardian of his 8-year-old brother, christopher. the two live together in semi-squalor, decaying food and sports equipment scattered about, while eggers worries obsessively about child-welfare authorities, molesting babysitters, and his own health. his child-rearing strategy swings between making his brother's upbringing manically fun and performing bizarre developmental experiments on him. (case in point: his idea of suitable bedtime reading is john hersey's hiroshima.) the book is also, perhaps less successfully, about being young and hip and out to conquer the world (in an ironic, media-savvy, gen-x way, naturally). in the early '90s, eggers was one of the founders of the very funny might magazine, and he spends a fair amount of time here on might, the hipster culture of san francisco's south park, and his own efforts to get on to mtv's real world. this sort of thing doesn't age very well--but then, eggers knows that. there's no criticism you can come up with that he hasn't put into a.h.w.o.s.g. already. the book thereafter is kind of uneven, he tells us regarding the contents after page 109, and while that's true, it's still uneven in a way that is funny and heartfelt and interesting. all this self-consciousness could have become unbearably arch. it's a testament to eggers's skill as a writer--and to the heartbreaking particulars of his story--that it doesn't. currently the editor of the footnote-and-marginalia-intensive journal mcsweeney's (the last issue featured an entire story by david foster wallace printed tinily on its spine), eggers comes from the most media-saturated generation in history--so much so that he can't feel an emotion without the sense that it's already been felt for him. what may seem like postmodern noodling is really just eggers writing about pain in the only honest way available to him. oddly enough, the effect is one of complete sincerity, and--especially in its concluding pages--this memoir as metafiction is affecting beyond all rational explanation. --mary park ...more",c9770bb1d5a492a0,,books.toscrape.com,0.0
3,fantasy,31.22,31.22,books,2,0.0,"here is the third volume in george r.r. martin's magnificent cycle of novels that includes a game of thrones and a clash of kings. together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.of the five contenders for power, one is dead, another in disfavor, and still the wars rage as al here is the third volume in george r.r. martin's magnificent cycle of novels that includes a game of thrones and a clash of kings. together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken. joffrey sits on the iron throne, the uneasy ruler of the seven kingdoms. his most bitter rival, lord stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall. young robb still rules the north from the fortress of riverrun. meanwhile, making her way across a blood-drenched continent is the exiled queen, daenerys, mistress of the only three dragons still left in the world. and as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical others—a supernatural army of the living dead whose animated corpses are unstoppable. as the future of the land hangs in the balance, no one will rest until the seven kingdoms have exploded in a veritable storm of swords... ...more",87beabf664115d79,,books.toscrape.com,0.0
3,nonfiction,30.48,30.48,books,4,0.0,"the appalachian trail trail stretches from georgia to maine and covers some of the most breathtaking terrain in america–majestic mountains, silent forests, sparking lakes. if you’re going to take a hike, it’s probably the place to go. and bill bryson is surely the most entertaining guide you’ll find. he introduces us to the history and ecology of the trail and to some of t the appalachian trail trail stretches from georgia to maine and covers some of the most breathtaking terrain in america–majestic mountains, silent forests, sparking lakes. if you’re going to take a hike, it’s probably the place to go. and bill bryson is surely the most entertaining guide you’ll find. he introduces us to the history and ecology of the trail and to some of the other hardy (or just foolhardy) folks he meets along the way–and a couple of bears. already a classic, a walk in the woods will make you long for the great outdoors (or at least a comfortable chair to sit and read in). ...more",bcee4f289ff6699c,,books.toscrape.com,0.0
3,default,14.08,14.08,books,5,0.0,"bennie is an aging former punk rocker and record executive. sasha is the passionate, troubled young woman he employs. here jennifer egan brilliantly reveals their pasts, along with the inner lives of a host of other characters whose paths intersect with theirs. with music pulsing on every page, a visit from the goon squad is a startling, exhilarating novel of self-destruct bennie is an aging former punk rocker and record executive. sasha is the passionate, troubled young woman he employs. here jennifer egan brilliantly reveals their pasts, along with the inner lives of a host of other characters whose paths intersect with theirs. with music pulsing on every page, a visit from the goon squad is a startling, exhilarating novel of self-destruction and redemption. ...more",5dbd6ec4e154ad2f,,books.toscrape.com,0.0
1,nonfiction,41.56,41.56,books,5,0.0,"john grisham says the tumor is the most important book he has ever written. in this short book, he provides readers with a fictional account of how a real, new medical technology could revolutionize the future of medicine by curing with sound. the tumor follows the present day experience of the fictional patient paul, an otherwise healthy 35-year-old father who is diagnose john grisham says the tumor is the most important book he has ever written. in this short book, he provides readers with a fictional account of how a real, new medical technology could revolutionize the future of medicine by curing with sound. the tumor follows the present day experience of the fictional patient paul, an otherwise healthy 35-year-old father who is diagnosed with a malignant brain tumor. grisham takes readers through a detailed account of paul’s treatment and his family’s experience that doesn’t end as we would hope. grisham then explores an alternate future, where paul is diagnosed with the same brain tumor at the same age, but in the year 2025, when a treatment called focused ultrasound is able to extend his life expectancy. focused ultrasound has the potential to treat not just brain tumors, but many other disorders, including parkinson’s, alzheimer’s, hypertension, and prostate, breast and pancreatic cancer. for more information, you can visit the focused ultrasound foundation’s website. here you will find a video of grisham on the tedx stage with the foundation’s chairman and a parkinson’s patient who brings the audience to its feet sharing her incredible story of a focused ultrasound “miracle.” readers will get a taste of the narrative they expect from grisham, but this short book will also educate and inspire people to be hopeful about the future of medical innovation. ...more",6514add13c82b115,2025.0,books.toscrape.com,0.0
3,classics,35.01,35.01,books,2,0.0,"first, there were ten - a curious assortment of strangers summoned as weekend guests to a private island off the coast of devon. their host, an eccentric millionaire unknown to all of them, is nowhere to be found. all that the guests have in common is a wicked past they're unwilling to reveal - and a secret that will seal their fate. for each has been marked for murder. on first, there were ten - a curious assortment of strangers summoned as weekend guests to a private island off the coast of devon. their host, an eccentric millionaire unknown to all of them, is nowhere to be found. all that the guests have in common is a wicked past they're unwilling to reveal - and a secret that will seal their fate. for each has been marked for murder. one by one they fall prey. before the weekend is out, there will be none. and only the dead are above suspicion. ...more",cfe350b20d23b02b,,books.toscrape.com,0.0
